"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.150.135.113","128.135.24.73","TCP","78","53784  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3646244285 TSecr=0 SACK_PERM"
"2","0.003981","128.135.24.73","10.150.135.113","TCP","66","80  >  53784 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1382 SACK_PERM WS=128"
"3","0.004057","10.150.135.113","128.135.24.73","TCP","54","53784  >  80 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"4","0.012012","10.150.135.113","128.135.24.73","TCP","78","53785  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2773939295 TSecr=0 SACK_PERM"
"5","0.018881","128.135.24.73","10.150.135.113","TCP","66","443  >  53785 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1382 SACK_PERM WS=128"
"6","0.018993","10.150.135.113","128.135.24.73","TCP","54","53785  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"7","0.019131","10.150.135.113","128.135.24.73","TLSv1.2","571","Client Hello (SNI=www.cs.uchicago.edu)"
"8","0.026645","128.135.24.73","10.150.135.113","TCP","56","443  >  53785 [ACK] Seq=1 Ack=518 Win=64128 Len=0"
"9","0.026646","128.135.24.73","10.150.135.113","TLSv1.2","1436","Server Hello"
"10","0.026647","128.135.24.73","10.150.135.113","TLSv1.2","1102","Certificate, Server Key Exchange, Server Hello Done"
"11","0.026700","10.150.135.113","128.135.24.73","TCP","54","53785  >  443 [ACK] Seq=518 Ack=2431 Win=259776 Len=0"
"12","0.028757","10.150.135.113","128.135.24.73","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"13","0.030021","10.150.135.113","128.135.24.73","TCP","1436","53785  >  443 [ACK] Seq=611 Ack=2431 Win=262144 Len=1382 [TCP PDU reassembled in 16]"
"14","0.030022","10.150.135.113","128.135.24.73","TCP","1436","53785  >  443 [ACK] Seq=1993 Ack=2431 Win=262144 Len=1382 [TCP PDU reassembled in 16]"
"15","0.030022","10.150.135.113","128.135.24.73","TCP","1436","53785  >  443 [ACK] Seq=3375 Ack=2431 Win=262144 Len=1382 [TCP PDU reassembled in 16]"
"16","0.030027","10.150.135.113","128.135.24.73","TLSv1.2","55","Application Data"
"17","0.036025","128.135.24.73","10.150.135.113","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"18","0.036025","128.135.24.73","10.150.135.113","TLSv1.2","123","Application Data"
"19","0.036026","128.135.24.73","10.150.135.113","TCP","56","443  >  53785 [ACK] Seq=2551 Ack=4758 Win=64128 Len=0"
"20","0.036027","128.135.24.73","10.150.135.113","TLSv1.2","182","Application Data"
"21","0.036028","128.135.24.73","10.150.135.113","TLSv1.2","270","Application Data"
"22","0.036089","10.150.135.113","128.135.24.73","TCP","54","53785  >  443 [ACK] Seq=4758 Ack=2551 Win=262080 Len=0"
"23","0.036114","10.150.135.113","128.135.24.73","TCP","54","53785  >  443 [ACK] Seq=4758 Ack=2895 Win=261760 Len=0"
"24","0.036828","10.150.135.113","128.135.24.73","TLSv1.2","92","Application Data"
"25","0.047542","10.150.135.113","128.135.24.73","TCP","78","53786  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3866202992 TSecr=0 SACK_PERM"
"26","0.051882","128.135.24.73","10.150.135.113","TCP","66","443  >  53786 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1382 SACK_PERM WS=128"
"27","0.051949","10.150.135.113","128.135.24.73","TCP","54","53786  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"28","0.052077","10.150.135.113","128.135.24.73","TLSv1.2","571","Client Hello (SNI=cs.uchicago.edu)"
"29","0.058847","128.135.24.73","10.150.135.113","TCP","56","443  >  53786 [ACK] Seq=1 Ack=518 Win=64128 Len=0"
"30","0.060513","128.135.24.73","10.150.135.113","TLSv1.2","1436","Server Hello"
"31","0.060514","128.135.24.73","10.150.135.113","TLSv1.2","1100","Certificate, Server Key Exchange, Server Hello Done"
"32","0.060568","10.150.135.113","128.135.24.73","TCP","54","53786  >  443 [ACK] Seq=518 Ack=2429 Win=259776 Len=0"
"33","0.060905","10.150.135.113","128.135.24.73","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"34","0.062083","10.150.135.113","128.135.24.73","TCP","1436","53786  >  443 [ACK] Seq=611 Ack=2429 Win=262144 Len=1382 [TCP PDU reassembled in 36]"
"35","0.062084","10.150.135.113","128.135.24.73","TCP","1436","53786  >  443 [ACK] Seq=1993 Ack=2429 Win=262144 Len=1382 [TCP PDU reassembled in 36]"
"36","0.062091","10.150.135.113","128.135.24.73","TLSv1.2","1434","Application Data"
"37","0.074186","10.150.135.113","128.135.24.73","TCP","1436","[TCP Retransmission] 53786  >  443 [PSH, ACK] Seq=3373 Ack=2429 Win=262144 Len=1382 [TCP PDU reassembled in 36]"
"38","0.075526","128.135.24.73","10.150.135.113","TCP","56","443  >  53786 [ACK] Seq=2429 Ack=4755 Win=64128 Len=0"
"39","0.075527","128.135.24.73","10.150.135.113","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"40","0.075528","128.135.24.73","10.150.135.113","TLSv1.2","132","Application Data"
"41","0.075571","10.150.135.113","128.135.24.73","TCP","54","53786  >  443 [ACK] Seq=4755 Ack=2558 Win=262016 Len=0"
"42","0.075739","10.150.135.113","128.135.24.73","TLSv1.2","92","Application Data"
"43","0.079705","128.135.24.73","10.150.135.113","TCP","66","[TCP Dup ACK 38#1] 443  >  53786 [ACK] Seq=2558 Ack=4755 Win=64128 Len=0 SLE=3373 SRE=4755"
"44","0.079706","128.135.24.73","10.150.135.113","TCP","56","443  >  53786 [ACK] Seq=2558 Ack=4793 Win=64128 Len=0"
"45","0.084580","128.135.24.73","10.150.135.113","TCP","56","443  >  53785 [ACK] Seq=2895 Ack=4796 Win=64128 Len=0"
"46","0.680096","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [ACK] Seq=2558 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 59]"
"47","0.680098","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [ACK] Seq=3940 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 59]"
"48","0.680099","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [PSH, ACK] Seq=5322 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 59]"
"49","0.680101","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [ACK] Seq=6704 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 59]"
"50","0.680102","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [ACK] Seq=8086 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 59]"
"51","0.680103","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [PSH, ACK] Seq=9468 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 59]"
"52","0.680105","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [ACK] Seq=10850 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 59]"
"53","0.680106","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [ACK] Seq=12232 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 59]"
"54","0.680108","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [PSH, ACK] Seq=13614 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 59]"
"55","0.680109","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [ACK] Seq=14996 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 59]"
"56","0.680111","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [ACK] Seq=16378 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 59]"
"57","0.680235","10.150.135.113","128.135.24.73","TCP","54","53786  >  443 [ACK] Seq=4793 Ack=17760 Win=246976 Len=0"
"58","0.680367","10.150.135.113","128.135.24.73","TCP","54","[TCP Window Update] 53786  >  443 [ACK] Seq=4793 Ack=17760 Win=262144 Len=0"
"59","0.690370","128.135.24.73","10.150.135.113","TLSv1.2","1436","Application Data"
"60","0.690372","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [PSH, ACK] Seq=19142 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 66]"
"61","0.690373","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [ACK] Seq=20524 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 66]"
"62","0.690374","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [PSH, ACK] Seq=21906 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 66]"
"63","0.690376","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [ACK] Seq=23288 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 66]"
"64","0.690377","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [PSH, ACK] Seq=24670 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 66]"
"65","0.690378","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [ACK] Seq=26052 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 66]"
"66","0.690379","128.135.24.73","10.150.135.113","TLSv1.2","1436","Application Data"
"67","0.690380","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [ACK] Seq=28816 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 71]"
"68","0.690380","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [PSH, ACK] Seq=30198 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 71]"
"69","0.690381","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [ACK] Seq=31580 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 71]"
"70","0.690382","128.135.24.73","10.150.135.113","TCP","1436","443  >  53786 [PSH, ACK] Seq=32962 Ack=4793 Win=64128 Len=1382 [TCP PDU reassembled in 71]"
"71","0.690383","128.135.24.73","10.150.135.113","TLSv1.2","1357","Application Data"
"72","0.690458","10.150.135.113","128.135.24.73","TCP","54","53786  >  443 [ACK] Seq=4793 Ack=32962 Win=246976 Len=0"
"73","0.690497","10.150.135.113","128.135.24.73","TCP","54","53786  >  443 [ACK] Seq=4793 Ack=35647 Win=244352 Len=0"
"74","0.690539","10.150.135.113","128.135.24.73","TCP","54","[TCP Window Update] 53786  >  443 [ACK] Seq=4793 Ack=35647 Win=262144 Len=0"
"75","0.711105","10.150.135.113","128.135.24.73","TCP","1436","53786  >  443 [ACK] Seq=4793 Ack=35647 Win=262144 Len=1382 [TCP PDU reassembled in 77]"
"76","0.711106","10.150.135.113","128.135.24.73","TCP","1436","53786  >  443 [ACK] Seq=6175 Ack=35647 Win=262144 Len=1382 [TCP PDU reassembled in 77]"
"77","0.711117","10.150.135.113","128.135.24.73","TLSv1.2","1386","Application Data"
"78","0.712492","10.150.135.113","128.135.24.73","TCP","1436","53786  >  443 [ACK] Seq=8889 Ack=35647 Win=262144 Len=1382 [TCP PDU reassembled in 80]"
"79","0.712494","10.150.135.113","128.135.24.73","TCP","1436","53786  >  443 [ACK] Seq=10271 Ack=35647 Win=262144 Len=1382 [TCP PDU reassembled in 80]"
"80","0.712502","10.150.135.113","128.135.24.73","TLSv1.2","1377","Application Data"
"81","0.713990","10.150.135.113","128.135.24.73","TCP","1436","53786  >  443 [ACK] Seq=12976 Ack=35647 Win=262144 Len=1382 [TCP PDU reassembled in 83]"
"82","0.713991","10.150.135.113","128.135.24.73","TCP","1436","53786  >  443 [ACK] Seq=14358 Ack=35647 Win=262144 Len=1382 [TCP PDU reassembled in 83]"
"83","0.713997","10.150.135.113","128.135.24.73","TLSv1.2","1374","Application Data"
"84","0.715820","128.135.24.73","10.150.135.113","TCP","56","443  >  53786 [ACK] Seq=35647 Ack=7557 Win=63616 Len=0"
"85","0.715821","128.135.24.73","10.150.135.113","TCP","56","443  >  53786 [ACK] Seq=35647 Ack=8889 Win=62848 Len=0"
"86","0.715821","128.135.24.73","10.150.135.113","TLSv1.2","315","Application Data"
